user_id,role_id,financial_year,company_id,site_id,action,description,ref_type,ref_id,sub_ref_type,sub_ref_id,created_at,json_data
1,1,3,2,39,change," Login to new site and financial year - super1 admin1 as Super Admin at ENCON (INDIA)-PLOT NO. C-36 / C-24 / C-35 (EI (P)),  SINNAR TALUKA AUDYOGIK VASAHAT MARYADIT MUSALGAON MIDC, POST",,,,,,"2026-01-03 13:36:41",YToyOntzOjI0OiJjb21tb25fY29tcGFueV9zaXRlX2RhdGEiO3M6MjoiMzkiO3M6MjE6ImNvbW1vbl9maW5hbmNpYWxfeWVhciI7czoxOiIzIjt9
1,1,admin,login," logged - super1 admin1 as Super Admin in ",0,3,1,0,0,"2026-01-03 14:42:06",YTozOntzOjU6ImVtYWlsIjtzOjIwOiJzdXBlcmFkbWluQGdtYWlsLmNvbSI7czo4OiJwYXNzd29yZCI7czo2OiIxMjM0NTYiO3M6MTA6ImRlbGV0ZWRfYnkiO047fQ==
1,1,3,2,39,change," Login to new site and financial year - super1 admin1 as Super Admin at ENCON (INDIA)-PLOT NO. C-36 / C-24 / C-35 (EI (P)),  SINNAR TALUKA AUDYOGIK VASAHAT MARYADIT MUSALGAON MIDC, POST",,,,,,"2026-01-03 14:42:16",YToyOntzOjI0OiJjb21tb25fY29tcGFueV9zaXRlX2RhdGEiO3M6MjoiMzkiO3M6MjE6ImNvbW1vbl9maW5hbmNpYWxfeWVhciI7czoxOiIzIjt9
1,1,admin,login," logged - super1 admin1 as Super Admin in ",0,3,1,0,0,"2026-01-03 16:15:48",YTozOntzOjU6ImVtYWlsIjtzOjIwOiJzdXBlcmFkbWluQGdtYWlsLmNvbSI7czo4OiJwYXNzd29yZCI7czo2OiIxMjM0NTYiO3M6MTA6ImRlbGV0ZWRfYnkiO047fQ==
1,1,3,3,5,change," Login to new site and financial year - super1 admin1 as Super Admin at ENCON COOLING TOWERS PVT. LTD.-SAF YEAST COMPANY PVT. LTD. ((ECTPL))",,,,,,"2026-01-03 17:10:34",YToyOntzOjI0OiJjb21tb25fY29tcGFueV9zaXRlX2RhdGEiO3M6MToiNSI7czoyMToiY29tbW9uX2ZpbmFuY2lhbF95ZWFyIjtzOjE6IjMiO30=
1,1,3,5,10,change," Login to new site and financial year - super1 admin1 as Super Admin at ENCON FAN (INDIA) PRIVATE LIMITED-H-56 ATGAON (EFIPL)",,,,,,"2026-01-03 17:15:49",YToyOntzOjI0OiJjb21tb25fY29tcGFueV9zaXRlX2RhdGEiO3M6MjoiMTAiO3M6MjE6ImNvbW1vbl9maW5hbmNpYWxfeWVhciI7czoxOiIzIjt9
1,1,admin,login," logged - super1 admin1 as Super Admin in ",0,3,1,0,0,"2026-01-03 18:11:10",YTozOntzOjU6ImVtYWlsIjtzOjIwOiJzdXBlcmFkbWluQGdtYWlsLmNvbSI7czo4OiJwYXNzd29yZCI7czo2OiIxMjM0NTYiO3M6MTA6ImRlbGV0ZWRfYnkiO047fQ==
1,1,3,2,39,change," Login to new site and financial year - super1 admin1 as Super Admin at ENCON (INDIA)-PLOT NO. C-36 / C-24 / C-35 (EI (P)),  SINNAR TALUKA AUDYOGIK VASAHAT MARYADIT MUSALGAON MIDC, POST",,,,,,"2026-01-03 18:11:17",YToyOntzOjI0OiJjb21tb25fY29tcGFueV9zaXRlX2RhdGEiO3M6MjoiMzkiO3M6MjE6ImNvbW1vbl9maW5hbmNpYWxfeWVhciI7czoxOiIzIjt9
1,1,admin,login," logged - super1 admin1 as Super Admin in ",0,3,1,0,0,"2026-01-03 19:55:46",YTozOntzOjU6ImVtYWlsIjtzOjIwOiJzdXBlcmFkbWluQGdtYWlsLmNvbSI7czo4OiJwYXNzd29yZCI7czo2OiIxMjM0NTYiO3M6MTA6ImRlbGV0ZWRfYnkiO047fQ==
